구분,Report No,S/No,Identification No,Joint No,JHC 행,Status 행,JHC Film,Status Film,차이/비고
값 불일치,SIT-K1-JHC-PIP-RT-0103,22,P1RN-LPC-7531101-01,4EC,171,1798,,,"{""ident"": {""jhc"": ""P1RN-LPC-7531101-01"", ""status"": ""P3RN-MPC-7521050-03""}, ""joint"": {""jhc"": ""4EC"", ""status"": ""8""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4149"", ""status"": ""4075""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0103,23,P2AN-BW-2131301-01,3,172,1799,,,"{""ident"": {""jhc"": ""P2AN-BW-2131301-01"", ""status"": ""P3RN-VT-9701050-03""}, ""joint"": {""jhc"": ""3"", ""status"": ""10""}, ""size"": {""jhc"": ""2"", ""status"": ""4""}, ""thk"": {""jhc"": ""2.77"", ""status"": ""3.05""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4077"", ""status"": ""4008""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0103,24,PSWN-LPC-7531020-01,9,173,1800,,,"{""ident"": {""jhc"": ""PSWN-LPC-7531020-01"", ""status"": ""P4RN-PW-9101050-02""}, ""joint"": {""jhc"": ""9"", ""status"": ""7""}, ""size"": {""jhc"": ""2"", ""status"": ""4""}, ""thk"": {""jhc"": ""3.91"", ""status"": ""3.05""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4151"", ""status"": ""4068""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0103,25,P2AN-BW-2132301-01,10,174,1801,,,"{""ident"": {""jhc"": ""P2AN-BW-2132301-01"", ""status"": ""P4RN-PW-9101050-52""}, ""joint"": {""jhc"": ""10"", ""status"": ""14""}, ""size"": {""jhc"": ""2"", ""status"": ""4""}, ""thk"": {""jhc"": ""2.77"", ""status"": ""3.05""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4077"", ""status"": ""4078""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0103,26,P2AN-BW-2231301-01,1,175,1802,,,"{""ident"": {""jhc"": ""P2AN-BW-2231301-01"", ""status"": ""PSWN-LPC-7531020-01""}, ""joint"": {""jhc"": ""1"", ""status"": ""9""}, ""thk"": {""jhc"": ""2.77"", ""status"": ""3.91""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4075"", ""status"": ""4151""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0103,27,P4RN-PW-9101050-52,14,176,1803,,,"{""ident"": {""jhc"": ""P4RN-PW-9101050-52"", ""status"": ""PSWN-VT-9701001-01""}, ""joint"": {""jhc"": ""14"", ""status"": ""6""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4078"", ""status"": ""4151""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0103,3,P2AN-BW-2232301-01,1,152,1779,,,"{""ident"": {""jhc"": ""P2AN-BW-2232301-01"", ""status"": ""P1RN-PW-9901005-51""}, ""joint"": {""jhc"": ""1"", ""status"": ""12""}, ""thk"": {""jhc"": ""2.77"", ""status"": ""3.91""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4078"", ""status"": ""4147""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0103,4,P2AN-BW-2231301-01,4,153,1780,,,"{""ident"": {""jhc"": ""P2AN-BW-2231301-01"", ""status"": ""P2AN-BW-2131301-01""}, ""joint"": {""jhc"": ""4"", ""status"": ""3""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0103,5,P2RN-BW-9201405-51,7,154,1781,,,"{""ident"": {""jhc"": ""P2RN-BW-9201405-51"", ""status"": ""P2AN-BW-2131301-01""}, ""joint"": {""jhc"": ""7"", ""status"": ""6""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4008"", ""status"": ""4075""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0103,6,PSWN-VT-9701001-01,6,155,1782,,,"{""ident"": {""jhc"": ""PSWN-VT-9701001-01"", ""status"": ""P2AN-BW-2132301-01""}, ""joint"": {""jhc"": ""6"", ""status"": ""8""}, ""size"": {""jhc"": ""4"", ""status"": ""2""}, ""thk"": {""jhc"": ""3.05"", ""status"": ""2.77""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4151"", ""status"": ""4077""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0103,7,P2AN-BW-2131301-01,6,156,1783,,,"{""ident"": {""jhc"": ""P2AN-BW-2131301-01"", ""status"": ""P2AN-BW-2132301-01""}, ""joint"": {""jhc"": ""6"", ""status"": ""10""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4075"", ""status"": ""4077""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0103,8,P2AN-BW-2431301-01,,157,1784,,,"{""ident"": {""jhc"": ""P2AN-BW-2431301-01"", ""status"": ""P2AN-BW-2231301-01""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4078"", ""status"": ""4075""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0103,9,P2AN-BW-2431301-01,,158,1785,,,"{""ident"": {""jhc"": ""P2AN-BW-2431301-01"", ""status"": ""P2AN-BW-2231301-01""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0106,2,,,198,1825,,,"{""acc"": {""jhc"": 3.0, ""status"": 2.0}, ""rej"": {""jhc"": 0.0, ""status"": 1.0}}"
