구분,Report No,S/No,Identification No,Joint No,JHC 행,Status 행,JHC Film,Status Film,차이/비고
값 불일치,SIT-K1-JHC-PIP-RT-0094,7,PSWN-LPS-7431501-01,3,11,1638,,,"{""ident"": {""jhc"": ""PSWN-LPS-7431501-01"", ""status"": ""P1AN-CHWS-3221001-01""}, ""joint"": {""jhc"": ""3"", ""status"": ""4""}, ""size"": {""jhc"": ""2"", ""status"": ""4""}, ""thk"": {""jhc"": ""3.91"", ""status"": ""3.05""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4077"", ""status"": ""4002""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0094,8,P2AN-CHWR-2342201-01,4,12,1639,,,"{""ident"": {""jhc"": ""P2AN-CHWR-2342201-01"", ""status"": ""P1AN-CHWS-7311112-01""}, ""joint"": {""jhc"": ""4"", ""status"": ""6""}, ""size"": {""jhc"": ""3"", ""status"": ""4""}, ""thk"": {""jhc"": ""5.49"", ""status"": ""6.02""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4009"", ""status"": ""4133""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0094,9,P1AN-CHWS-3151001-02,3,13,1640,,,"{""ident"": {""jhc"": ""P1AN-CHWS-3151001-02"", ""status"": ""P1AN-FPW-6032002-01""}, ""joint"": {""jhc"": ""3"", ""status"": ""5""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4002"", ""status"": ""4076""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0095,1,P4AN-CHWS-7311041-01,7,27,1654,,,"{""ident"": {""jhc"": ""P4AN-CHWS-7311041-01"", ""status"": ""P4AN-CHWR-2072401-02""}, ""joint"": {""jhc"": ""7"", ""status"": ""3""}, ""size"": {""jhc"": ""3"", ""status"": ""4""}, ""thk"": {""jhc"": ""5.49"", ""status"": ""6.02""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4060"", ""status"": ""4009""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0095,10,P5RN-HPW-7161050-02,4,36,1663,,,"{""ident"": {""jhc"": ""P5RN-HPW-7161050-02"", ""status"": ""P4RN-HPW-7161048-01""}, ""joint"": {""jhc"": ""4"", ""status"": ""11""}, ""size"": {""jhc"": ""3"", ""status"": ""2""}, ""thk"": {""jhc"": ""3.05"", ""status"": ""2.77""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4062"", ""status"": ""4077""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0095,11,P5AN-WTR-2001001-02,1,37,1664,,,"{""ident"": {""jhc"": ""P5AN-WTR-2001001-02"", ""status"": ""P4RN-MPS-7421410-51""}, ""joint"": {""jhc"": ""1"", ""status"": ""2""}, ""thk"": {""jhc"": ""2.77"", ""status"": ""3.91""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4011"", ""status"": ""4101""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0095,12,P5RN-HWR-7611052-01,,38,1665,,,"{""ident"": {""jhc"": ""P5RN-HWR-7611052-01"", ""status"": ""P5AN-CHWS-7311401-01""}, ""size"": {""jhc"": ""3"", ""status"": ""2.5""}, ""thk"": {""jhc"": ""5.49"", ""status"": ""5.16""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4078"", ""status"": ""4091""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0095,13,P4AN-WTR-2036001-02,5,39,1666,,,"{""ident"": {""jhc"": ""P4AN-WTR-2036001-02"", ""status"": ""P5AN-WTR-2001001-02""}, ""joint"": {""jhc"": ""5"", ""status"": ""1""}, ""size"": {""jhc"": ""4"", ""status"": ""2""}, ""thk"": {""jhc"": ""3.05"", ""status"": ""2.77""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4010"", ""status"": ""4011""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0095,14,,,40,1667,,,"{""matl"": {""jhc"": """", ""status"": ""S/S""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0095,15,P4AN-WTR-3012002-01,5,41,1668,,,"{""ident"": {""jhc"": ""P4AN-WTR-3012002-01"", ""status"": ""P5RN-HPW-7161050-02""}, ""joint"": {""jhc"": ""5"", ""status"": ""4""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4078"", ""status"": ""4062""}}"
