,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
92,,,,,,,1.3,주배관,,,,,,,0,,3,주배관,A,0,,0,0,,
93,,,,,15mm초과~25mm이하,1.4,1.8199999999999998,관리소,,,,,,,0,,3,관리소,A,0,,0,0,,
94,,,,,,,1.8199999999999998,주배관,,,,,,,0,,3,주배관,A,0,,0,0,,
95,,"4""",Ir-192 또는 Se-75,1,15mm 이하,1,1,관리소,126,,,,,,126,3,3,관리소,A/2,378,,378,378,A/2,투과두께 : 6.0mm × 2(이중벽) = 12.0mm
96,,,,,,,1,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
97,,,,,15mm초과~25mm이하,1.4,1.4,관리소,,,,,,,0,,3,관리소,A/2,0,,0,0,,
98,,,,,,,1.4,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
99,,,X-ray 발생장치,1.3,15mm 이하,1,1.3,관리소,,,,,,,0,,3,관리소,A/2,0,,0,0,,
100,,,,,,,1.3,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
101,,,,,15mm초과~25mm이하,1.4,1.8199999999999998,관리소,,,,,,,0,,3,관리소,A/2,0,,0,0,,
102,,,,,,,1.8199999999999998,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
103,,"3""",Ir-192 또는 Se-75,1,15mm 이하,1,1,관리소,,,,,,,0,3,3,관리소,A/2,0,,0,0,A/2,
104,,,,,,,1,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
105,,,,,15mm초과~25mm이하,1.4,1.4,관리소,,,,,,,0,,3,관리소,A/2,0,,0,0,,
106,,,,,,,1.4,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
107,,,X-ray 발생장치,1.3,15mm 이하,1,1.3,관리소,,,,,,,0,,3,관리소,A/2,0,,0,0,,
108,,,,,,,1.3,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
109,,,,,15mm초과~25mm이하,1.4,1.8199999999999998,관리소,,,,,,,0,,3,관리소,A/2,0,,0,0,,
110,,,,,,,1.8199999999999998,주배관,,,,,,,0,,3,주배관,A/2,0,,0,0,,
