0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
산 출 명 세 서,,,,,,,,,,,,,,,,,,,
가산~가평 천연가스 공급시설 건설공사 비파괴검사 기술용역,,,,,,,,,,,,,,,,,,,
구      분,,품    목,규      격,단위 ,산출,,,비  고,,구      분,,품    목,규      격,단위 ,산출,,,비  고,
번호,비목,,,,수   량,단  가,금     액,,,번호,비목,,,,수   량,단  가,금     액,,
,,,,,,,,,,,,,,,,,,,
Ⅰ. 재료비,,,,,,,,,,,,,,,,,,,
     1. 방사선 투과검사 (RT),,,,,,,,,,,,,,,,,,,
,,적     용,,,,,0,,,,,적     용,,,,,0,,0
,,,,,,,,,,,,,,,,,,,
,나. 초음파 탐상검사 (UT)-플랜트,,,,,,,,,,나. 초음파 탐상검사 (UT)-수송배관,,,,,,,,초음파 탐상검사-종합
,   1) 일반검사,,,,,,,,,,   1) 일반검사,,,,,,,,(플랜트 + 수송배관)
,,기술관리,중급기술자,MD,0,261545,0,,,,,기술관리,중급기술자,MD,3.602,261545,942085,,
,,탐상작업-1,중급숙련기술자,MD,0,226344,0,,,,,탐상작업-1,중급숙련기술자,MD,18.859,226344,4268621,,
,,탐상작업-2,초급숙련기술자,MD,0,194317,0,,,,,탐상작업-2,초급숙련기술자,MD,18.859,194317,3664624,,
,,보고서 작성,중급숙련기술자,MD,0,226344,0,,,,,보고서 작성,중급숙련기술자,MD,4.301,226344,973505,,
,,현장검사 조건확인,중급숙련기술자,MD,0,226344,0,,,,,현장검사 조건확인,중급숙련기술자,MD,2.409,226344,545262,,
,,소    계,,,,,0,,,,,소    계,,,,,10394097,,
,,적    용,,,,,0,,,,,적    용,,,,,10394000,,10394000
,   2) 휴일검사,,,,,,,,,,   2) 휴일검사,,,,,,,,
,,기술관리,중급기술자,MD,0,392317.5,0,,,,,기술관리,중급기술자,MD,0.411,392317.5,161242,,
,,탐상작업-1,중급숙련기술자,MD,0,339516,0,,,,,탐상작업-1,중급숙련기술자,MD,2.152,339516,730638,,
,,탐상작업-2,초급숙련기술자,MD,0,291475.5,0,,,,,탐상작업-2,초급숙련기술자,MD,2.152,291475.5,627255,,
,,보고서 작성,중급숙련기술자,MD,0,226344,0,,,,,보고서 작성,중급숙련기술자,MD,0,226344,0,,
,,현장검사 조건확인,중급숙련기술자,MD,0,339516,0,,,,,현장검사 조건확인,중급숙련기술자,MD,0.274,339516,93027,,
,,소    계,,,,,0,,,,,소    계,,,,,1612162,,
,,적    용,,,,,0,,,,,적    용,,,,,1612000,,1612000
,   3) 야간검사,,,,,,,,,,   3) 야간검사,,,,,,,,
,,기술관리,중급기술자,MD,0,392317.5,0,,,,,기술관리,중급기술자,MD,0.822,392317.5,322484,,
,,탐상작업-1,중급숙련기술자,MD,0,339516,0,,,,,탐상작업-1,중급숙련기술자,MD,4.28,339516,1453128,,
,,탐상작업-2,초급숙련기술자,MD,0,291475.5,0,,,,,탐상작업-2,초급숙련기술자,MD,4.28,291475.5,1247515,,
,,보고서 작성,중급숙련기술자,MD,0,226344,0,,,,,보고서 작성,중급숙련기술자,MD,0,226344,0,,
,,현장검사 조건확인,중급숙련기술자,MD,0,339516,0,,,,,현장검사 조건확인,중급숙련기술자,MD,0.549,339516,186394,,
,,소    계,,,,,0,,,,,소    계,,,,,3209521,,
,,적    용,,,,,0,,,,,적    용,,,,,3209000,,3209000
,,,,,,,,,,,,,,,,,,,
,다. 액체침투 탐상검사 (PT)-플랜트,,,,,,,,,,다. 액체침투 탐상검사 (PT)-수송배관,,,,,,,,액체침투 탐상검사-종합
,   1) 일반검사,,,,,,,,,,   1) 일반검사,,,,,,,,(플랜트 + 수송배관)
,,기술관리,중급기술자,MD,0.167,261545,43678,,,,,기술관리,중급기술자,MD,2.283,261545,597107,,
,,탐상작업-1,중급숙련기술자,MD,1.507,226344,341100,,,,,탐상작업-1,중급숙련기술자,MD,17.664,226344,3998140,,
,,탐상작업-2,초급숙련기술자,MD,1.507,194317,292835,,,,,탐상작업-2,초급숙련기술자,MD,17.664,194317,3432415,,
,,보고서 작성,중급숙련기술자,MD,0.206,226344,46626,,,,,보고서 작성,중급숙련기술자,MD,2.966,226344,671336,,
,,현장검사 조건확인,중급숙련기술자,MD,0.143,226344,32367,,,,,현장검사 조건확인,중급숙련기술자,MD,1.959,226344,443407,,
,,소    계,,,,,756606,,,,,소    계,,,,,9142405,,
,,적    용,,,,,756000,,,,,적    용,,,,,9142000,,9898000
,   2) 휴일검사,,,,,,,,,,   2) 휴일검사,,,,,,,,
,,기술관리,중급기술자,MD,0.022,392317.5,8630,,,,,기술관리,중급기술자,MD,0.26,392317.5,102002,,
,,탐상작업-1,중급숙련기술자,MD,0.206,339516,69940,,,,,탐상작업-1,중급숙련기술자,MD,2.015,339516,684124,,
,,탐상작업-2,초급숙련기술자,MD,0.206,291475.5,60043,,,,,탐상작업-2,초급숙련기술자,MD,2.015,291475.5,587323,,
,,보고서 작성,중급숙련기술자,MD,0,226344,0,,,,,보고서 작성,중급숙련기술자,MD,0,226344,0,,
,,현장검사 조건확인,중급숙련기술자,MD,0.019,339516,6450,,,,,현장검사 조건확인,중급숙련기술자,MD,0.223,339516,75712,,
,,소    계,,,,,145063,,,,,소    계,,,,,1449161,,
,,적    용,,,,,145000,,,,,적    용,,,,,1449000,,1594000
,   3) 야간검사,,,,,,,,,,   3) 야간검사,,,,,,,,
,,기술관리,중급기술자,MD,0.022,392317.5,8630,,,,,기술관리,중급기술자,MD,0.521,392317.5,204397,,
,,탐상작업-1,중급숙련기술자,MD,0.221,339516,75033,,,,,탐상작업-1,중급숙련기술자,MD,4.03,339516,1368249,,
,,탐상작업-2,초급숙련기술자,MD,0.221,291475.5,64416,,,,,탐상작업-2,초급숙련기술자,MD,4.03,291475.5,1174646,,
,,보고서 작성,중급숙련기술자,MD,0,226344,0,,,,,보고서 작성,중급숙련기술자,MD,0,226344,0,,
,,현장검사 조건확인,중급숙련기술자,MD,0.019,339516,6450,,,,,현장검사 조건확인,중급숙련기술자,MD,0.447,339516,151763,,
,,소    계,,,,,148079,,,,,소    계,,,,,2899055,,
,,적    용,,,,,148000,,,,,적    용,,,,,2899000,,3047000
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,직접인건비 계 ( 가 + 나 + 다 ),,,,,1221644000,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ⅲ. 경    비,,,,,,,,,,,,,,,,,,,
     1-1. 기계경비 [RT(GAMMA-RAY)장비 손료],,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,적     용,,,,,11653000,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
     1-2. 기계경비 [UT장비 손료],,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,적     용,,,,,329000,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
     1-3. 기계경비 [인소스크롤러 손료],,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,적     용,,,,,29018000,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,1. 기계경비 합계 ( 1-1 + 1-2 + 1-3 ),,,,,41000000,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
