--- 6-3. PT ---
R2: 	6-3.	PT																
R3: 	ㅇ 산출방법 (주배관) UT물량과 동일 (관리소) 필렛용접물량에 대하여 '주간:휴일:야간'비율을 '8:1:1'로 적용																	
R4: 	 □ PT주간																	
R5: 	구경	구경 구분	구경 보정계수	대상 분야	예상용접개소(BW)							구경당  검사길이	구경당  검사길이 (숨김)	대상 분야 (숨김)	실검사길이(M)	보정계수 종합	검사보정 길이(M)	비고
R117: 	구경	구경 구분	구경 보정계수	대상 분야	예상용접개소(BW)							구경당  검사길이	구경당  검사길이 (숨김)	대상 분야 (숨김)	실검사길이(M)	보정계수 종합	검사보정 길이(M)	비고
R118: 					가산~가평						소계							
R119: 	30	150mm초과	1.2	관리소							0	2.392	2.392	관리소	0	1.2	0	
R120: 				주배관							0		2.392	주배관	0	1.2	0	
R121: 	24	150mm초과	1.2	관리소							0	1.914	1.914	관리소	0	1.2	0	
R122: 				주배관							0		1.914	주배관	0	1.2	0	
R123: 	20	150mm초과	1.2	관리소							0	1.595	1.595	관리소	0	1.2	0	
R124: 				주배관	17						17		1.595	주배관	27.12	1.2	32.54	
R125: 	16	150mm초과	1.2	관리소							0	1.276	1.276	관리소	0	1.2	0	
R126: 				주배관							0		1.276	주배관	0	1.2	0	
R127: 	14	150mm초과	1.2	관리소							0	1.116	1.116	관리소	0	1.2	0	
R128: 				주배관							0		1.116	주배관	0	1.2	0	
R129: 	12	150mm초과	1.2	관리소							0	0.957	0.957	관리소	0	1.2	0	
R130: 				주배관							0		0.957	주배관	0	1.2	0	
R131: 	10	150mm초과	1.2	관리소							0	0.797	0.797	관리소	0	1.2	0	
R132: 				주배관							0		0.797	주배관	0	1.2	0	
R133: 	8	150mm초과	1.2	관리소							0	0.638	0.638	관리소	0	1.2	0	
R134: 				주배관							0		0.638	주배관	0	1.2	0	
R135: 	6	150mm초과	1.2	관리소							0	0.478	0.478	관리소	0	1.2	0	
R136: 				주배관							0		0.478	주배관	0	1.2	0	
R137: 	4	150mm이하	1.4	관리소							0	0.319	0.319	관리소	0	1.4	0	
R138: 				주배관							0		0.319	주배관	0	1.4	0	
R139: 	3	150mm이하	1.4	관리소							0	0.239	0.239	관리소	0	1.4	0	
R140: 				주배관							0		0.239	주배관	0	1.4	0	
R141: 	3	150mm이하	1.4	관리소							0	0.239	0.239	관리소	0	1.4	0	
R142: 				주배관							0		0.239	주배관	0	1.4	0	
R143: 	2	150mm이하	1.4	관리소							0	0.159	0.159	관리소	0	1.4	0	
R144: 				주배관							0		0.159	주배관	0	1.4	0	
R145: 	1.5	150mm이하	1.4	관리소							0	0.119	0.119	관리소	0	1.4	0	
R146: 				주배관							0		0.119	주배관	0	1.4	0	
R147: 	1	150mm이하	1.4	관리소							0	0.079	0.079	관리소	0	1.4	0	
R148: 				주배관							0		0.079	주배관	0	1.4	0	
R149: 	0.75	150mm이하	1.4	관리소							0	0.059	0.059	관리소	0	1.4	0	
R150: 				주배관							0		0.059	주배관	0	1.4	0	
R151: 	0.5	150mm이하	1.4	관리소							0	0.039	0.039	관리소	0	1.4	0	
R152: 				주배관							0		0.039	주배관	0	1.4	0	
R153: 	6	150mm초과	1.2	관리소							0	0.478	0.478	관리소	0	1.2	0	
R154: ㅑ				주배관							0		0.478	주배관	0	1.2	0	
R155: 	4	150mm이하	1.4	관리소	2						2	0.319	0.319	관리소	0.64	1.4	0.9	
R156: 				주배관							0		0.319	주배관	0	1.4	0	
R157: 	3	150mm이하	1.4	관리소							0	0.239	0.239	관리소	0	1.4	0	
R158: 				주배관							0		0.239	주배관	0	1.4	0	
R159: 	2	150mm이하	1.4	관리소	8						8	0.159	0.159	관리소	1.27	1.4	1.78	
R160: 				주배관							0		0.159	주배관	0	1.4	0	
R161: 	1 1/2"(weldolet)	150mm이하	1.4	관리소	1						1	0.119	0.119	관리소	0.12	1.4	0.17	
R162: 				주배관							0		0.119	주배관	0	1.4	0	
R163: 	1	150mm이하	1.4	관리소	1						1	0.079	0.079	관리소	0.08	1.4	0.11	
R164: 				주배관							0		0.079	주배관	0	1.4	0	
R165: 	계				29	0	0	0	0	0	29				29.23		35.5	
